"pop","pop.lat","pop.lon","pop.MMM","pop.CHL","pop.FE","pop.O2","pop.PH","pop.NO3","pop.PO4","pop.SPM","pop.SSS","pop.SCV","pop.DHW","pop.SST"
"13-124",13.8753466666667,144.140566666667,28.66,0.5416,0.002613,204.502,8.07019,0.00251,0.11186,4.48,35.0925,0.2062,0.5378,26.5989
"21-550",21.96184,152.31235,27.56,0.3188,0.002509,210.375,8.09356,0.00236,0.1177,1.27,35.3676,0.1108,0.3079,25.0939
"22-084",22.00282,152.45695,27.52,0.3894,0.002113,209.545,8.09195,0.00241,0.11978,1.66,35.3459,0.1333,0.2973,25.0414
"Bougainville",15.499342,147.097927,28.88,0.104,0.000385,204.396,8.07628,0.00166,0.14304,0.94,34.9814,0.1544,0.8592,26.9624
"Chicken",18.40233,147.42382,28.46,0.1593,0.001411,206.647,8.08186,0.00302,0.12193,0.66,35.0858,0.1914,0.4904,26.3975
"Chilcott",16.931951,149.990727,28.54,0.0952,0.000686,206.443,8.08238,0.00115,0.12746,0.54,35.0597,0.1021,0.6311,26.6561
"Chinaman",22.01369,152.65425,27.42,0.3796,0.001491,208.666,8.09009,0.00282,0.12228,1.68,35.3274,0.1462,0.3013,25.0144
"Corbett",13.92266,144.24052,28.58,0.5465,0.002759,204.709,8.07074,0.00612,0.11127,6.39,35.0899,0.2282,0.5766,26.5883
"Davie",13.93768,144.308856666667,28.58,0.4501,0.00221,204.724,8.07105,0.00732,0.1152,2.65,35.0465,0.1992,0.586,26.6471
"Davies",18.4962,147.37608,28.45,0.1472,0.001411,206.647,8.08186,0.00302,0.12193,0.49,35.1075,0.1352,0.4949,26.3518
"Fitzroy",23.62972,152.1361,27.08,0.3181,0.001623,210.892,8.09449,0.02414,0.11339,1.65,35.4434,0.0838,0.3215,24.3953
"Frederick",20.9938030769231,154.358954615385,27.69,0.0901,0.000283,209.954,8.08638,0.02107,0.11035,0.79,35.2909,0.1412,0.7239,25.5752
"Holmes",16.4694442857143,147.908387142857,28.7557142857143,0.1107,0.000394,205.316,8.07994,0.00133,0.13658,1.02,35.0575,0.1708,0.7033,26.736
"Hoskyns",23.80801,152.2836,27.06,0.2705,0.001915,211.907,8.09653,0.01194,0.11041,0.73,35.4877,0.0431,0.3193,24.4016
"Lady Musgrave",23.90737,152.38654,27.07,0.3113,0.00165,211.272,8.09498,0.02394,0.11438,1.74,35.4456,0.0613,0.3249,24.4151
"Marion",19.1537154545455,152.370073636364,28.0963636363636,0.0895,0.000562,208.647,8.08635,0.00258,0.10953,0.47,35.1849,0.1118,0.7085,26.0095
"Moore",15.9516689473684,149.289832105263,28.7926315789474,0.1001,0.000376,204.749,8.07845,0.00129,0.14204,1,34.9865,0.1801,0.7649,26.9385
"Saumarez",21.9154027272727,153.587248636364,27.83,0.1208,0.000528,208.517,8.08817,0.01094,0.1224,0.79,35.2358,0.1055,0.5435,25.6536
"Willis",16.28728,149.9593,28.69,0.0866,0.000377,205.161,8.07985,0.00139,0.13854,0.54,35.0186,0.1441,0.7519,26.8486
"Wreck",22.1815923076923,155.363644615385,27.2492307692308,0.14,0.000562,208.647,8.08635,0.00258,0.10953,1.6,35.1846,0.104,0.71,26.017
