"Cluster 1","Cluster 2","Ind","Site"
0.176696,0.823304,"A ten 018","Wreck"
0.973477,0.0265233,"A ten 194","Lihou"
0.934805,0.0651945,"A ten 216","Moore"
1e-04,0.9999,"A ten 274","Bougainville"
0.882142,0.117858,"A ten 031","Wreck"
0.910252,0.0897476,"A ten 047","Frederick"
0.994695,0.00530488,"A ten 073","Marion"
0.951664,0.0483358,"A ten 088","Marion"
0.773476,0.226524,"A ten 100","Flinders"
0.953677,0.046323,"A ten 140","Herald"
0.9999,1e-04,"A ten 153","Chilcott"
0.9999,1e-04,"A ten 181","Lihou"
0.945795,0.0542047,"A ten 020","Wreck"
0.935109,0.0648914,"A ten 197","Lihou"
0.9999,1e-04,"A ten 218","Moore"
1e-04,0.9999,"A ten 280","Bougainville"
0.942599,0.0574014,"A ten 032","Wreck"
0.983429,0.0165714,"A ten 062","Marion"
0.9999,1e-04,"A ten 076","Marion"
0.795069,0.204931,"A ten 089","Marion"
0.9999,1e-04,"A ten 106","Flinders"
0.976434,0.0235656,"A ten 141","Herald"
0.9999,1e-04,"A ten 155","Chilcott"
0.976059,0.0239408,"A ten 182","Lihou"
0.609283,0.390717,"A ten 023","Wreck"
0.9999,1e-04,"A ten 198","Lihou"
0.895473,0.104527,"A ten 238","Holmes"
1e-04,0.9999,"A ten 285","Bougainville"
0.978615,0.021385,"A ten 036","Frederick"
0.9999,1e-04,"A ten 063","Marion"
0.918781,0.0812192,"A ten 081","Marion"
0.591259,0.408741,"A ten 090","Marion"
0.944186,0.0558138,"A ten 113","Flinders"
0.997027,0.00297346,"A ten 142","Herald"
0.936257,0.0637431,"A ten 157","Chilcott"
0.928065,0.071935,"A ten 183","Lihou"
0.190991,0.809009,"A ten 024","Wreck"
0.969434,0.0305658,"A ten 207","Moore"
0.904056,0.0959443,"A ten 240","Holmes"
1e-04,0.9999,"A ten 287","Bougainville"
0.130203,0.869797,"A ten 037","Frederick"
0.964411,0.0355886,"A ten 065","Marion"
0.983904,0.016096,"A ten 082","Marion"
0.9999,1e-04,"A ten 091","Marion"
0.997856,0.00214429,"A ten 117","Flinders"
