"Cluster 1","Cluster 2","Ind","Site"
0.881402,0.118598,"A ten 194","Lihou"
0.780127,0.219873,"A ten 216","Moore"
0.980608,0.0193916,"A ten 031","Wreck"
0.920174,0.0798256,"A ten 047","Frederick"
0.826535,0.173465,"A ten 073","Marion"
0.529978,0.470022,"A ten 088","Marion"
0.875963,0.124037,"A ten 140","Herald"
0.852292,0.147708,"A ten 153","Chilcott"
0.769706,0.230294,"A ten 181","Lihou"
0.964167,0.0358333,"A ten 020","Wreck"
0.739608,0.260392,"A ten 197","Lihou"
0.815136,0.184864,"A ten 218","Moore"
0.922887,0.0771126,"A ten 032","Wreck"
0.785965,0.214035,"A ten 062","Marion"
0.660589,0.339411,"A ten 076","Marion"
0.957792,0.0422079,"A ten 106","Flinders"
0.852321,0.147679,"A ten 141","Herald"
0.899796,0.100204,"A ten 155","Chilcott"
0.838788,0.161212,"A ten 182","Lihou"
0.791071,0.208929,"A ten 198","Lihou"
0.921473,0.0785268,"A ten 238","Holmes"
0.831487,0.168513,"A ten 036","Frederick"
0.803094,0.196906,"A ten 063","Marion"
0.914497,0.085503,"A ten 081","Marion"
0.861465,0.138535,"A ten 113","Flinders"
0.812243,0.187757,"A ten 142","Herald"
0.863646,0.136354,"A ten 157","Chilcott"
0.952431,0.0475688,"A ten 183","Lihou"
0.92636,0.0736402,"A ten 207","Moore"
0.846291,0.153709,"A ten 240","Holmes"
0.934175,0.0658252,"A ten 065","Marion"
0.83487,0.16513,"A ten 082","Marion"
0.811657,0.188343,"A ten 091","Marion"
0.825093,0.174907,"A ten 117","Flinders"
0.927259,0.0727409,"A ten 145","Herald"
0.890702,0.109298,"A ten 163","Chilcott"
0.803719,0.196281,"A ten 184","Lihou"
0.891021,0.108979,"A ten 210","Moore"
0.927704,0.0722957,"A ten 243","Holmes"
0.954378,0.0456223,"A ten 299","Osprey"
0.954796,0.0452039,"A ten 039","Frederick"
0.17126,0.82874,"A ten 066","Marion"
0.86144,0.13856,"A ten 084","Marion"
0.936791,0.0632088,"A ten 126","Flinders"
0.734783,0.265217,"A ten 147","Chilcott"
0.834355,0.165645,"A ten 164","Chilcott"
0.9999,1e-04,"A ten 187","Lihou"
0.858319,0.141681,"A ten 211","Moore"
0.961144,0.0388558,"A ten 301","Osprey"
0.0888966,0.911103,"A ten 067","Marion"
0.97842,0.0215795,"A ten 129","Herald"
1e-04,0.9999,"A ten 149","Chilcott"
0.0150891,0.984911,"A ten 174","Lihou"
0.778243,0.221757,"A ten 188","Lihou"
0.808175,0.191825,"A ten 027","Wreck"
0.765429,0.234571,"A ten 214","Moore"
0.6858,0.3142,"A ten 095","Marion"
0.766695,0.233305,"A ten 135","Herald"
0.881268,0.118732,"A ten 150","Chilcott"
0.870102,0.129898,"A ten 176","Lihou"
0.92053,0.0794704,"A ten 192","Lihou"
0.848459,0.151541,"A ten 215","Moore"
0.850551,0.149449,"A ten 070","Marion"
0.726008,0.273992,"A ten 139","Herald"
0.835964,0.164036,"A ten 151","Chilcott"
0.892351,0.107649,"A ten 179","Lihou"
0.960642,0.0393575,"A ten193","Lihou"
0.8967,0.1033,"A ten 012","Wreck"
0.754439,0.245561,"A ten 250","Holmes"
0.902253,0.0977473,"A ten 294","Osprey"
0.829198,0.170802,"A ten 043","Frederick"
0.852816,0.147184,"A ten 071","Marion"
0.865872,0.134128,"A ten 109","Flinders"
0.809894,0.190106,"A ten 125","Flinders"
0.858769,0.141231,"A ten 143","Herald"
0.860892,0.139108,"A ten 162","Chilcott"
0.846445,0.153555,"A ten 212","Moore"
0.931618,0.0683817,"A ten 013","Wreck"
0.836685,0.163315,"A ten 237","Holmes"
0.931376,0.0686241,"A ten 253","Holmes"
0.822128,0.177872,"A ten 295","Osprey"
0.818267,0.181733,"A ten 072","Marion"
0.751603,0.248397,"A ten 110","Flinders"
0.782936,0.217064,"A ten 128","Herald"
0.844664,0.155336,"A ten 170","Lihou"
0.871599,0.128401,"A ten 213","Moore"
0.850736,0.149264,"A ten 239","Holmes"
0.888554,0.111446,"A ten 297","Osprey"
0.860167,0.139833,"A ten 074","Marion"
0.904879,0.0951212,"A ten 096","Marion"
0.815481,0.184519,"A ten 111","Flinders"
0.712044,0.287956,"A ten 131","Herald"
0.890436,0.109564,"A ten 146","Herald"
0.783506,0.216494,"A ten 217","Moore"
0.877479,0.122521,"A ten 021","Wreck"
0.881676,0.118324,"A ten 241","Holmes"
0.879617,0.120383,"A ten 298","Osprey"
0.771793,0.228207,"A ten 046","Frederick"
0.769303,0.230697,"A ten 075","Marion"
0.866755,0.133245,"A ten 097","Marion"
0.899237,0.100763,"A ten 114","Flinders"
0.89485,0.10515,"A ten 132","Herald"
0.931935,0.0680649,"A ten 152","Chilcott"
0.832336,0.167664,"A ten 178","Lihou"
0.864438,0.135562,"A ten 221","Moore"
0.875194,0.124806,"A ten 244","Holmes"
0.839998,0.160002,"A ten 049","Frederick"
0.857566,0.142434,"A ten 077","Marion"
0.918781,0.0812188,"A ten 102","Flinders"
0.867996,0.132004,"A ten 115","Flinders"
0.881158,0.118842,"A ten 133","Herald"
0.831225,0.168775,"A ten 154","Chilcott"
0.817882,0.182118,"A ten 185","Lihou"
0.928958,0.0710415,"A ten 223","Moore"
0.855674,0.144326,"A ten 050","Frederick"
0.709991,0.290009,"A ten 078","Marion"
0.911256,0.0887439,"A ten 103","Flinders"
0.835215,0.164785,"A ten 118","Flinders"
0.868523,0.131477,"A ten 134","Herald"
0.946437,0.0535628,"A ten 158","Chilcott"
0.85784,0.14216,"A ten 189","Lihou"
0.856526,0.143474,"A ten 227","Holmes"
0.84712,0.15288,"A ten 035","Wreck"
0.848015,0.151985,"A ten 248","Holmes"
0.822181,0.177819,"A ten 079","Marion"
0.91338,0.0866198,"A ten 104","Flinders"
0.905019,0.094981,"A ten 123","Flinders"
0.803849,0.196151,"A ten 137","Herald"
0.807122,0.192878,"A ten 160","Chilcott"
0.829286,0.170714,"A ten 191","Lihou"
0.876165,0.123835,"A ten 231","Holmes"
0.749778,0.250222,"A ten 038","Frederick"
0.856485,0.143515,"A ten 249","Holmes"
0.930603,0.0693968,"A ten 292","Osprey"
0.896104,0.103896,"A ten 069","Marion"
0.880179,0.119821,"A ten 080","Marion"
0.854199,0.145801,"A ten 107","Flinders"
0.852472,0.147528,"A ten 124","Flinders"
0.964206,0.0357939,"A ten 138","Herald"
0.787156,0.212844,"A ten 161","Chilcott"
0.899628,0.100372,"A ten 209","Moore"
0.855019,0.144981,"A ten 232","Holmes"
0.739181,0.260819,"A ten 014","Wreck"
0.922029,0.0779714,"A ten 303","Osprey"
0.905908,0.0940923,"A ten 119","Flinders"
0.938675,0.0613249,"A ten 156","Chilcott"
0.904845,0.0951547,"A ten 186","Lihou"
0.742277,0.257723,"A ten 220","Moore"
0.925315,0.0746853,"A ten 233","Holmes"
0.9999,1e-04,"A ten 282","Bougainville"
0.84717,0.15283,"A ten 015","Wreck"
0.838877,0.161123,"A ten 304","Osprey"
0.927972,0.0720285,"A ten 064","Marion"
0.832594,0.167406,"A ten 120","Flinders"
0.814328,0.185672,"A ten 159","Chilcott"
0.858117,0.141883,"A ten 190","Lihou"
0.720704,0.279296,"A ten 222","Moore"
0.818127,0.181873,"A ten 235","Holmes"
0.746221,0.253779,"A ten 283","Bougainville"
0.811218,0.188782,"A ten 016","Wreck"
